id_empleado,nombre_completo,primer_nombre,segundo_nombre,apellido_paterno,apellido_materno,fecha_de_nacimiento,fecha_de_inicio_vida_laboral,id_empresa_empleadora,empresa_empleadora,direccion_empresa,telefono_empresa,fecha_de_inicio,cargo,departamento,descripcion_del_puesto,id_jefe,nombre_completo_jefe,mejoras_al_departamento,asendido,aumento_de_sueldo,salario_diario,modalidad_de_pago,salario_mensual,fecha_de_salida,motivo_de_salida,idiomas,maximo_nivel_educativo,Habilidades_tecnicas,
21098764,Victoria Ríos Sánchez,Victoria,-,Ríos,Sánchez,12/19/1981,12/19/1999,24681357,TechConnect Inc.,"Calle del Sol #123, Ciudad Juárez, Chihuahua",656-234-5678,12/19/1999,Diseñador de Interiores,Diseño,Crea y planifica diseños de interiores para espacios comerciales o residenciales.,42813597,Alejandra Ríos González,FALSE,FALSE,FALSE,$595.00 ,Semanal,"$18,683.00 ",2/19/2005,Incumplimiento de las normas de seguridad.,Español,Ingeniería,"Análisis de datos, minería de datos, visualización de información",
21098764,Victoria Ríos Sánchez,Victoria,-,Ríos,Sánchez,12/19/1981,12/19/1999,91368034,Nexus Ventures,"Calle de la Rosa #890, Ciudad Juárez, Chihuahua",656-012-3456,2/24/2005,Analista de Recursos Humanos,Recursos Humanos,"Realiza análisis y evaluaciones relacionados con la gestión del talento, desarrollo y retención de personal.",58294736,Carlos Eduardo García Sánchez,FALSE,FALSE,TRUE,$715.00 ,Semanal,"$22,451.00 ",4/24/2010,Incumplimiento de las normas de seguridad.,Inglés y Español,Maestría,"Desarrollo móvil, creación de aplicaciones para iOS y Android",
21098764,Victoria Ríos Sánchez,Victoria,-,Ríos,Sánchez,12/19/1981,12/19/1999,35796468,NovaTech Technologies Inc.,"Calle del Lago #567, Ciudad Juárez, Chihuahua",656-456-7890,4/29/2010,Diseñador de Interiores,Diseño,Crea y planifica diseños de interiores para espacios comerciales o residenciales.,59271386,Verónica Castro Mendoza,FALSE,FALSE,TRUE,$835.00 ,Semanal,"$26,219.00 ",EMPLEO ACTUAL,,Inglés y Español,Maestría,"Cloud computing, configuración de servicios en la nube, escalabilidad",
21098765,Daniel Castro Vargas,Daniel,-,Castro,Vargas,3/17/1988,3/17/2006,24695357,Matrix Solutions Group Inc.,"Avenida de la Montaña #234, Ciudad Juárez, Chihuahua",656-345-6789,3/17/2006,Asistente Ejecutivo,Alta Dirección,Brinda asistencia administrativa y coordinación para la alta dirección de la empresa.,67941235,Patricia Alejandra Silva Moreno,FALSE,FALSE,TRUE,$595.00 ,Semanal,"$18,683.00 ",5/17/2011,Inasistencia o llegadas tardías frecuentes.,Español,Licenciatura,"Big data, almacenamiento y procesamiento de grandes volúmenes de información",
21098765,Daniel Castro Vargas,Daniel,-,Castro,Vargas,3/17/1988,3/17/2006,46804579,Quantum Enterprises,"Avenida de la Estrella #987, Ciudad Juárez, Chihuahua",656-567-8901,5/22/2011,Desarrollador Web,Desarrollo de Software,Crea y mantiene sitios web funcionales y atractivos utilizando lenguajes de programación web.,31947685,Ana Sofía López Navarro,FALSE,TRUE,TRUE,$715.00 ,Semanal,"$22,451.00 ",EMPLEO ACTUAL,,Español,Licenciatura,"Automatización de pruebas, frameworks de pruebas, generación de informes",
23456789,Ana María López Hernández,Ana,María,López,Hernández,5/22/1993,5/22/2011,79139802,Apex Ventures Group,"Calle de la Luna #765, Ciudad Juárez, Chihuahua",656-890-1234,5/22/2011,Coordinador de Calidad,Calidad,Supervisa y coordina el cumplimiento de los estándares de calidad y procesos de mejora continua.,31947686,Ana Sofía López Navarro,TRUE,TRUE,TRUE,$595.00 ,Semanal,"$18,683.00 ",7/22/2016,Desempeño laboral deficiente.,Inglés y Español,Ingeniería,"Desarrollo móvil, creación de aplicaciones para iOS y Android",
23456789,Ana María López Hernández,Ana,María,López,Hernández,5/22/1993,5/22/2011,2471135,Dynamic Ventures,"Avenida Primavera #098, Ciudad Juárez, Chihuahua",656-123-4567,7/27/2016,Ingeniero de Proyectos,Ingeniería,"Gestiona y supervisa proyectos de ingeniería, asegurando su finalización exitosa y dentro del presupuesto establecido.",31947687,Ana Sofía López Navarro,TRUE,TRUE,TRUE,$715.00 ,Semanal,"$22,451.00 ",9/27/2021,Insatisfacción con el salario.,Inglés y Español,Ingeniería,"Internet de las cosas (IoT), desarrollo de dispositivos conectados",
23456789,Ana María López Hernández,Ana,María,López,Hernández,5/22/1993,5/22/2011,80257923,Crystal Clear Systems,"Avenida del Lago #567, Ciudad Juárez, Chihuahua",656-901-2345,10/2/2021,Asistente Ejecutivo,Alta Dirección,Brinda asistencia administrativa y coordinación para la alta dirección de la empresa.,31947688,Ana Sofía López Navarro,TRUE,TRUE,FALSE,$835.00 ,Semanal,"$26,219.00 ",EMPLEO ACTUAL,,Inglés y Español,Ingeniería,"Programación, resolución de problemas, administración de bases de datos",
32109875,Emilio Gutiérrez Navarro,Emilio,-,Gutiérrez,Navarro,3/29/1991,3/29/2009,2470135,Innovatech Corp,"Avenida de la Luna #765, Ciudad Juárez, Chihuahua",656-123-4567,3/29/2009,Asistente Ejecutivo,Alta Dirección,Brinda asistencia administrativa y coordinación para la alta dirección de la empresa.,31947689,Ana Sofía López Navarro,TRUE,TRUE,FALSE,$595.00 ,Semanal,"$18,683.00 ",EMPLEO ACTUAL,,Inglés y Español,Licenciatura,"Virtualización, creación y gestión de máquinas virtuales",
32109876,Valeria Domínguez Soto,Valeria,-,Domínguez,Soto,9/2/1980,9/2/1998,57917680,Global Matrix Systems Inc.,"Calle de la Rosa #890, Ciudad Juárez, Chihuahua",656-678-9012,9/2/1998,Ejecutivo de Cuentas,Ventas,"Gestiona y desarrolla relaciones con clientes existentes, identificando oportunidades de venta y brindando un excelente servicio al cliente.",31947690,Ana Sofía López Navarro,TRUE,TRUE,FALSE,$595.00 ,Semanal,"$18,683.00 ",EMPLEO ACTUAL,,Español,Ingeniería,"Ciberseguridad, detección de intrusiones, respuesta a incidentes",
34567890,Luis Alberto Soto Ramírez,Luis,Alberto,Soto,Ramírez,9/16/1979,9/16/1997,80247913,NovaTech,"Avenida de la Rosa #890, Ciudad Juárez, Chihuahua",656-901-2345,9/16/1997,Desarrollador Web,Desarrollo de Software,Crea y mantiene sitios web funcionales y atractivos utilizando lenguajes de programación web.,31947691,Ana Sofía López Navarro,TRUE,TRUE,FALSE,$595.00 ,Semanal,"$18,683.00 ",EMPLEO ACTUAL,,Inglés y Español,Maestría,"Desarrollo web, diseño de interfaces de usuario, optimización de sitios",
43210986,Silvia Romero Cortés,Silvia,-,Romero,Cortés,9/13/1986,9/13/2004,68027791,Innovatech Systems,"Avenida de la Rosa #890, Ciudad Juárez, Chihuahua",656-789-0123,9/13/2004,Desarrollador Web,Desarrollo de Software,Crea y mantiene sitios web funcionales y atractivos utilizando lenguajes de programación web.,46928161,María Fernanda Rodríguez Santos,TRUE,TRUE,FALSE,$595.00 ,Semanal,"$18,683.00 ",EMPLEO ACTUAL,,Inglés y Español,Maestría,"Análisis de datos, minería de datos, visualización de información",
43210987,Eduardo Torres Mendoza,Eduardo,-,Torres,Mendoza,3/17/1988,3/17/2006,80251913,Apex Ventures Corporation,"Avenida de los Pinos #321, Ciudad Juárez, Chihuahua",656-901-2345,3/17/2006,Diseñador de Interiores,Diseño,Crea y planifica diseños de interiores para espacios comerciales o residenciales.,46928162,María Fernanda Rodríguez Santos,TRUE,FALSE,FALSE,$595.00 ,Semanal,"$18,683.00 ",EMPLEO ACTUAL,,Inglés y Español,Ingeniería,"Ciberseguridad, detección de intrusiones, respuesta a incidentes",
45678901,María Fernández Torres,María,-,Fernández,Torres,3/8/1998,3/8/2016,35794468,Digital Nexus Solutions,"Calle de la Estrella #987, Ciudad Juárez, Chihuahua",656-456-7890,3/8/2016,Desarrollador Web,Desarrollo de Software,Crea y mantiene sitios web funcionales y atractivos utilizando lenguajes de programación web.,46928163,María Fernanda Rodríguez Santos,FALSE,FALSE,TRUE,$595.00 ,Semanal,"$18,683.00 ",EMPLEO ACTUAL,,Español,Licenciatura,"Análisis de riesgos, evaluación de impacto, continuidad del negocio",
54321097,Guillermo Navarro León,Guillermo,-,Navarro,León,8/3/1998,8/3/2016,57914680,Fusion Innovations,"Calle de la Estrella #987, Ciudad Juárez, Chihuahua",656-678-9012,8/3/2016,Analista de Recursos Humanos,Recursos Humanos,"Realiza análisis y evaluaciones relacionados con la gestión del talento, desarrollo y retención de personal.",46928164,María Fernanda Rodríguez Santos,TRUE,FALSE,TRUE,$595.00 ,Semanal,"$18,683.00 ",EMPLEO ACTUAL,,Español,Ingeniería,"Big data, almacenamiento y procesamiento de grandes volúmenes de información",
54321098,Mariana Cruz Herrera,Mariana,-,Cruz,Herrera,5/5/1992,5/5/2010,68025791,Stellar Systems,"Avenida de la Montaña #234, Ciudad Juárez, Chihuahua",656-789-0123,5/5/2010,Consultor de Negocios,Consultoría,Brinda asesoramiento estratégico y soluciones empresariales a clientes para mejorar su rendimiento y eficacia.,46928165,María Fernanda Rodríguez Santos,TRUE,FALSE,TRUE,$595.00 ,Semanal,"$18,683.00 ",EMPLEO ACTUAL,,Inglés y Español,Maestría,"Redes de computadoras, configuración de routers, solución de problemas de conectividad",
54321678,Francisco Herrera Ríos,Francisco,-,Herrera,Ríos,9/7/1981,9/7/1999,2471135,Dynamic Ventures,"Avenida Primavera #098, Ciudad Juárez, Chihuahua",656-123-4567,9/7/1999,Asistente Ejecutivo,Alta Dirección,Brinda asistencia administrativa y coordinación para la alta dirección de la empresa.,46928165,María Fernanda Rodríguez Santos,TRUE,FALSE,FALSE,$595.00 ,Semanal,"$18,683.00 ",11/7/2004,Inasistencia o llegadas tardías frecuentes.,Español,Ingeniería,"Análisis de riesgos, evaluación de impacto, continuidad del negocio",
54321678,Francisco Herrera Ríos,Francisco,-,Herrera,Ríos,9/7/1981,9/7/1999,46804579,Quantum Enterprises,"Avenida de la Estrella #987, Ciudad Juárez, Chihuahua",656-567-8901,11/12/2004,Desarrollador Web,Desarrollo de Software,Crea y mantiene sitios web funcionales y atractivos utilizando lenguajes de programación web.,46928166,María Fernanda Rodríguez Santos,FALSE,FALSE,FALSE,$715.00 ,Semanal,"$22,451.00 ",1/12/2010,Ambiente de trabajo tóxico.,Español,Ingeniería,"Desarrollo móvil, creación de aplicaciones para iOS y Android",
54321678,Francisco Herrera Ríos,Francisco,-,Herrera,Ríos,9/7/1981,9/7/1999,46805579,Global Matrix Ventures,"Avenida de la Montaña #234, Ciudad Juárez, Chihuahua",656-567-8901,1/17/2010,Analista Financiero,Finanzas,Realiza análisis financiero y proporciona información y recomendaciones para la toma de decisiones estratégicas.,46928167,María Fernanda Rodríguez Santos,FALSE,FALSE,FALSE,$835.00 ,Semanal,"$26,219.00 ",3/17/2015,Robo o fraude en el lugar de trabajo.,Español,Ingeniería,"Redes de computadoras, configuración de routers, solución de problemas de conectividad",
54321678,Francisco Herrera Ríos,Francisco,-,Herrera,Ríos,9/7/1981,9/7/1999,91368034,Nexus Ventures,"Calle de la Rosa #890, Ciudad Juárez, Chihuahua",656-012-3456,3/22/2015,Ingeniero de Proyectos,Ingeniería,"Gestiona y supervisa proyectos de ingeniería, asegurando su finalización exitosa y dentro del presupuesto establecido.",46928168,María Fernanda Rodríguez Santos,FALSE,FALSE,FALSE,$955.00 ,Semanal,"$29,987.00 ",EMPLEO ACTUAL,,Inglés y Español,Ingeniería,"Arquitectura de software, diseño de sistemas escalables y modulares",
56789012,Carlos Rodríguez Medina,Carlos,-,Rodríguez,Medina,7/30/1983,7/30/2001,35793468,Matrix Innovations,"Calle del Bosque #654, Ciudad Juárez, Chihuahua",656-456-7890,7/30/2001,Ingeniero de Proyectos,Ingeniería,"Gestiona y supervisa proyectos de ingeniería, asegurando su finalización exitosa y dentro del presupuesto establecido.",46928169,María Fernanda Rodríguez Santos,TRUE,FALSE,TRUE,$595.00 ,Semanal,"$18,683.00 ",EMPLEO ACTUAL,,Español,Ingeniería,"Administración de proyectos, metodologías ágiles, planificación estratégica",
65432108,Julieta Cortés Medina,Julieta,-,Cortés,Medina,4/9/1983,4/9/2001,68035791,Apex Industries,"Avenida de la Estrella #987, Ciudad Juárez, Chihuahua",656-789-0123,4/9/2001,Analista Financiero,Finanzas,Realiza análisis financiero y proporciona información y recomendaciones para la toma de decisiones estratégicas.,46928170,María Fernanda Rodríguez Santos,FALSE,TRUE,TRUE,$595.00 ,Semanal,"$18,683.00 ",EMPLEO ACTUAL,,Inglés y Español,Licenciatura,"Desarrollo móvil, creación de aplicaciones para iOS y Android",
65432109,Gabriela Méndez Vargas,Gabriela,-,Méndez,Vargas,10/22/1999,10/22/2017,79137802,Summit Solutions,"Calle de la Rosa #890, Ciudad Juárez, Chihuahua",656-890-1234,10/22/2017,Desarrollador Web,Desarrollo de Software,Crea y mantiene sitios web funcionales y atractivos utilizando lenguajes de programación web.,46928171,María Fernanda Rodríguez Santos,FALSE,TRUE,FALSE,$595.00 ,Semanal,"$18,683.00 ",EMPLEO ACTUAL,,Español,Licenciatura,"Administración de sistemas operativos, implementación de servidores, mantenimiento de infraestructuras",
65432198,Carolina Castro Sánchez,Carolina,-,Castro,Sánchez,1/14/1996,1/14/2014,24691357,Digital Matrix,"Avenida Primavera #098, Ciudad Juárez, Chihuahua",656-345-6789,1/14/2014,Asistente Ejecutivo,Alta Dirección,Brinda asistencia administrativa y coordinación para la alta dirección de la empresa.,46928172,María Fernanda Rodríguez Santos,TRUE,FALSE,FALSE,$595.00 ,Semanal,"$18,683.00 ",EMPLEO ACTUAL,,Español,Maestría,"Desarrollo de juegos, diseño de niveles, animación 3D",
67890123,Laura Torres Mendoza,Laura,-,Torres,Mendoza,11/11/1987,11/11/2005,2474135,Crystal Clear Technologies Group Inc.,"Avenida de la Estrella #987, Ciudad Juárez, Chihuahua",656-789-0123,11/11/2005,Ejecutivo de Cuentas,Ventas,"Gestiona y desarrolla relaciones con clientes existentes, identificando oportunidades de venta y brindando un excelente servicio al cliente.",46928172,María Fernanda Rodríguez Santos,TRUE,FALSE,FALSE,$595.00 ,Semanal,"$18,683.00 ",1/11/2011,Cambio de ubicación geográfica.,Español,Licenciatura,"Análisis de datos, minería de datos, visualización de información",
67890123,Laura Torres Mendoza,Laura,-,Torres,Mendoza,11/11/1987,11/11/2005,13583246,Titan Enterprises Inc.,"Calle del Bosque #654, Ciudad Juárez, Chihuahua",656-234-5678,1/16/2011,Coordinador de Calidad,Calidad,Supervisa y coordina el cumplimiento de los estándares de calidad y procesos de mejora continua.,46928173,María Fernanda Rodríguez Santos,FALSE,TRUE,FALSE,$715.00 ,Semanal,"$22,451.00 ",3/16/2016,Mejor oportunidad de empleo.,Español,Licenciatura,"Administración de proyectos, metodologías ágiles, planificación estratégica",
67890123,Laura Torres Mendoza,Laura,-,Torres,Mendoza,11/11/1987,11/11/2005,35792468,FutureQuest Technologies,"Calle de los Pinos #321, Ciudad Juárez, Chihuahua",656-456-7890,3/21/2016,Coordinador de Calidad,Calidad,Supervisa y coordina el cumplimiento de los estándares de calidad y procesos de mejora continua.,46928174,María Fernanda Rodríguez Santos,FALSE,FALSE,TRUE,$835.00 ,Semanal,"$26,219.00 ",EMPLEO ACTUAL,,Español,Licenciatura,"Inteligencia artificial, aprendizaje automático, procesamiento del lenguaje natural",
76543209,Mario León Sánchez,Mario,-,León,Sánchez,1/26/2000,1/26/2018,68026791,Alpha Omega Technologies,"Avenida del Lago #567, Ciudad Juárez, Chihuahua",656-789-0123,1/26/2018,Consultor de Negocios,Consultoría,Brinda asesoramiento estratégico y soluciones empresariales a clientes para mejorar su rendimiento y eficacia.,46928175,María Fernanda Rodríguez Santos,FALSE,FALSE,TRUE,$595.00 ,Semanal,"$18,683.00 ",EMPLEO ACTUAL,,Inglés y Español,Licenciatura,"Desarrollo de juegos, diseño de niveles, animación 3D",
76543210,Andrés Sánchez Ramírez,Andrés,-,Sánchez,Ramírez,8/9/1976,8/9/1994,91363024,Silverline Software Solutions Corp.,"Calle del Bosque #654, Ciudad Juárez, Chihuahua",656-012-3456,8/9/1994,Analista de Sistemas,Tecnología de la Información,Analiza y evalúa los sistemas informáticos de la empresa para identificar áreas de mejora y eficiencia.,46928176,María Fernanda Rodríguez Santos,FALSE,TRUE,FALSE,$595.00 ,Semanal,"$18,683.00 ",EMPLEO ACTUAL,,Inglés y Español,Licenciatura,"Seguridad informática, análisis de vulnerabilidades, mitigación de riesgos",
76543219,Miguel Ángel Silva Ríos,Miguel,Ángel,Silva,Ríos,4/23/1989,4/23/2007,68035791,Apex Industries,"Avenida de la Estrella #987, Ciudad Juárez, Chihuahua",656-789-0123,4/23/2007,Coordinador de Calidad,Calidad,Supervisa y coordina el cumplimiento de los estándares de calidad y procesos de mejora continua.,46928176,María Fernanda Rodríguez Santos,TRUE,FALSE,TRUE,$595.00 ,Semanal,"$18,683.00 ",EMPLEO ACTUAL,,Inglés y Español,Licenciatura,"Redes de computadoras, configuración de routers, solución de problemas de conectividad",
78901234,Roberto Ramírez Silva,Roberto,-,Ramírez,Silva,6/19/2002,6/19/2020,24692357,Precision Technologies,"Avenida de los Pinos #321, Ciudad Juárez, Chihuahua",656-345-6789,6/19/2020,Analista Financiero,Finanzas,Realiza análisis financiero y proporciona información y recomendaciones para la toma de decisiones estratégicas.,46928177,María Fernanda Rodríguez Santos,TRUE,FALSE,FALSE,$595.00 ,Semanal,"$18,683.00 ",EMPLEO ACTUAL,,Español,Maestría,"Virtualización, creación y gestión de máquinas virtuales",
87654310,Paola Sánchez Vargas,Paola,-,Sánchez,Vargas,5/14/1993,5/14/2011,79137802,Summit Solutions,"Calle de la Rosa #890, Ciudad Juárez, Chihuahua",656-890-1234,5/14/2011,Analista Financiero,Finanzas,Realiza análisis financiero y proporciona información y recomendaciones para la toma de decisiones estratégicas.,46928178,María Fernanda Rodríguez Santos,TRUE,FALSE,FALSE,$595.00 ,Semanal,"$18,683.00 ",7/14/2016,Incumplimiento repetido de políticas de la empresa.,Inglés y Español,Ingeniería,"Desarrollo móvil, creación de aplicaciones para iOS y Android",
87654310,Paola Sánchez Vargas,Paola,-,Sánchez,Vargas,5/14/1993,5/14/2011,91368034,Nexus Ventures,"Calle de la Rosa #890, Ciudad Juárez, Chihuahua",656-012-3456,7/19/2016,Consultor de Negocios,Consultoría,Brinda asesoramiento estratégico y soluciones empresariales a clientes para mejorar su rendimiento y eficacia.,46928179,María Fernanda Rodríguez Santos,TRUE,TRUE,FALSE,$715.00 ,Semanal,"$22,451.00 ",EMPLEO ACTUAL,,Inglés y Español,Ingeniería,"Desarrollo web, diseño de interfaces de usuario, optimización de sitios",
87654320,Paola Ríos Domínguez,Paola,-,Ríos,Domínguez,7/11/1990,7/11/2008,2470135,Innovatech Corp,"Avenida de la Luna #765, Ciudad Juárez, Chihuahua",656-123-4567,7/11/2008,Desarrollador Web,Desarrollo de Software,Crea y mantiene sitios web funcionales y atractivos utilizando lenguajes de programación web.,46928180,María Fernanda Rodríguez Santos,TRUE,TRUE,FALSE,$595.00 ,Semanal,"$18,683.00 ",EMPLEO ACTUAL,,Español,Ingeniería,"Automatización de pruebas, frameworks de pruebas, generación de informes",
87654321,Lucía Vargas Medina,Lucía,-,Vargas,Medina,2/17/1985,2/17/2003,91359024,Optima Solutions,"Calle del Sol #432, Ciudad Juárez, Chihuahua",656-012-3456,2/17/2003,Coordinador de Calidad,Calidad,Supervisa y coordina el cumplimiento de los estándares de calidad y procesos de mejora continua.,46928181,María Fernanda Rodríguez Santos,TRUE,TRUE,TRUE,$595.00 ,Semanal,"$18,683.00 ",4/17/2008,Inasistencia o llegadas tardías frecuentes.,Español,Ingeniería,"Análisis de datos, minería de datos, visualización de información",
87654321,Lucía Vargas Medina,Lucía,-,Vargas,Medina,2/17/1985,2/17/2003,79137802,Summit Solutions,"Calle de la Rosa #890, Ciudad Juárez, Chihuahua",656-890-1234,4/22/2008,Desarrollador Web,Desarrollo de Software,Crea y mantiene sitios web funcionales y atractivos utilizando lenguajes de programación web.,46928182,María Fernanda Rodríguez Santos,TRUE,FALSE,FALSE,$715.00 ,Semanal,"$22,451.00 ",6/22/2013,Ambiente de trabajo tóxico.,Español,Ingeniería,"Virtualización, creación y gestión de máquinas virtuales",
87654321,Lucía Vargas Medina,Lucía,-,Vargas,Medina,2/17/1985,2/17/2003,68026791,Alpha Omega Technologies,"Avenida del Lago #567, Ciudad Juárez, Chihuahua",656-789-0123,6/27/2013,Coordinador de Calidad,Calidad,Supervisa y coordina el cumplimiento de los estándares de calidad y procesos de mejora continua.,46928183,María Fernanda Rodríguez Santos,TRUE,FALSE,FALSE,$835.00 ,Semanal,"$26,219.00 ",EMPLEO ACTUAL,,Inglés y Español,Ingeniería,"Administración de sistemas operativos, implementación de servidores, mantenimiento de infraestructuras",
89012345,Natalia Gómez Cruz,Natalia,-,Gómez,Cruz,2/28/1991,2/28/2009,80248913,Crystal Clear Industries,"Avenida del Sol #432, Ciudad Juárez, Chihuahua",656-901-2345,2/28/2009,Analista de Recursos Humanos,Recursos Humanos,"Realiza análisis y evaluaciones relacionados con la gestión del talento, desarrollo y retención de personal.",46928184,María Fernanda Rodríguez Santos,FALSE,FALSE,FALSE,$595.00 ,Semanal,"$18,683.00 ",4/28/2014,Incumplimiento repetido de políticas de la empresa.,Inglés y Español,Ingeniería,"Virtualización, creación y gestión de máquinas virtuales",
